TripleCount,Frequency
[0-5[,0
[5-10[,0
[10-15[,0
[15-20[,0
[20-25[,0
[25-30[,56647
[30-35[,36
[35-40[,47
[40-45[,47
[45-50[,55
[50-55[,32
[55-60[,43
[60-65[,38
[65-70[,40
[70-75[,34
[75-80[,43
[80-85[,34
[85-90[,34
[90-95[,31
[95-100[,41
[100-105[,40
[105-110[,40
[110-115[,38
[115-120[,51
[120-125[,52
[125-130[,1639
