TripleCount,Frequency
[0-5[,0
[5-10[,0
[10-15[,0
[15-20[,0
[20-25[,0
[25-30[,14459
[30-35[,25
[35-40[,12
[40-45[,20
[45-50[,33
[50-55[,32
[55-60[,34
[60-65[,18
[65-70[,24
[70-75[,16
[75-80[,9
[80-85[,7
[85-90[,7
[90-95[,6
[95-100[,7
[100-105[,7
[105-110[,5
[110-115[,9
[115-120[,7
[120-125[,9
[125-130[,69
